distance,x,y,value
3.895791583166332828e+01,4.000000000000000000e+01,3.895791583166332828e+01,9.784735812133078525e-01
3.913827655310621623e+01,4.000000000000000000e+01,3.913827655310621623e+01,9.784735812133078525e-01
3.931863727454910418e+01,4.000000000000000000e+01,3.931863727454910418e+01,9.784735812133078525e-01
3.949899799599198502e+01,4.000000000000000000e+01,3.949899799599198502e+01,9.784735812133077415e-01
3.967935871743487297e+01,4.000000000000000000e+01,3.967935871743487297e+01,9.784735812133078525e-01
3.985971943887776092e+01,4.000000000000000000e+01,3.985971943887776092e+01,9.784735812133078525e-01
4.004008016032064177e+01,4.000000000000000000e+01,4.004008016032064177e+01,9.784735812133078525e-01
4.022044088176352972e+01,4.000000000000000000e+01,4.022044088176352972e+01,9.784735812133078525e-01
4.040080160320641767e+01,4.000000000000000000e+01,4.040080160320641767e+01,9.784735812133078525e-01
4.058116232464929851e+01,4.000000000000000000e+01,4.058116232464929851e+01,9.784735812133078525e-01
4.076152304609218646e+01,4.000000000000000000e+01,4.076152304609218646e+01,9.784735812133078525e-01
4.094188376753507441e+01,4.000000000000000000e+01,4.094188376753507441e+01,1.038711473828280107e+00
4.112224448897796236e+01,4.000000000000000000e+01,4.112224448897796236e+01,3.039948128481437806e+00
4.130260521042084321e+01,4.000000000000000000e+01,4.130260521042084321e+01,5.651093445861133269e+00
4.148296593186373116e+01,4.000000000000000000e+01,4.148296593186373116e+01,9.340873527877763038e+00
4.166332665330661911e+01,4.000000000000000000e+01,4.166332665330661911e+01,1.125010621373214370e+01
4.184368737474949995e+01,4.000000000000000000e+01,4.184368737474949995e+01,1.234766989948586513e+01
4.202404809619238790e+01,4.000000000000000000e+01,4.202404809619238790e+01,1.259782448131750421e+01
4.220440881763527585e+01,4.000000000000000000e+01,4.220440881763527585e+01,1.207199787703260085e+01
4.238476953907815670e+01,4.000000000000000000e+01,4.238476953907815670e+01,1.013329986783743664e+01
4.256513026052104465e+01,4.000000000000000000e+01,4.256513026052104465e+01,9.786435231846580152e+00
4.274549098196393260e+01,4.000000000000000000e+01,4.274549098196393260e+01,1.016216385804874633e+01
4.292585170340681344e+01,4.000000000000000000e+01,4.292585170340681344e+01,1.010744254327308056e+01
4.310621242484970139e+01,4.000000000000000000e+01,4.310621242484970139e+01,9.481716204751323929e+00
4.328657314629258934e+01,4.000000000000000000e+01,4.328657314629258934e+01,7.785355446705564120e+00
4.346693386773547729e+01,4.000000000000000000e+01,4.346693386773547729e+01,7.240704500978480951e+00
4.364729458917835814e+01,4.000000000000000000e+01,4.364729458917835814e+01,7.240704500978481839e+00
4.382765531062124609e+01,4.000000000000000000e+01,4.382765531062124609e+01,7.240704500978480951e+00
4.400801603206413404e+01,4.000000000000000000e+01,4.400801603206413404e+01,5.960649282910211788e+00
4.418837675350701488e+01,4.000000000000000000e+01,4.418837675350701488e+01,2.208330555435817466e+00
4.436873747494990283e+01,4.000000000000000000e+01,4.436873747494990283e+01,9.784735812133078525e-01
4.454909819639279078e+01,4.000000000000000000e+01,4.454909819639279078e+01,9.910231421748587621e-01
4.472945891783567163e+01,4.000000000000000000e+01,4.472945891783567163e+01,4.743341869649253084e+00
4.490981963927855958e+01,4.000000000000000000e+01,4.490981963927855958e+01,6.655058322777341218e+00
